,year_id,seasongame,elo_diff,game_location,opp_id,WL
120151,2013,59,125.97310000000016,0,17,1
120190,2013,60,10.447300000000041,0,22,1
120217,2013,61,-156.4277000000002,1,23,0
120245,2013,62,99.52030000000013,1,26,1
120268,2013,63,77.52139999999986,0,21,1
120295,2013,64,2.901700000000119,0,0,1
120333,2013,65,276.79009999999994,1,14,1
120336,2013,66,58.270500000000084,1,22,0
120373,2013,67,-61.738799999999856,1,15,1
120402,2013,68,151.1789000000001,0,1,1
120429,2013,69,191.5072,1,9,0
120476,2013,70,86.92370000000005,0,25,0
120520,2013,71,-10.516599999999926,1,7,0
120548,2013,72,88.3741,1,17,1
120568,2013,73,84.91910000000007,1,16,0
120611,2013,74,82.46330000000012,1,1,1
120640,2013,75,6.296900000000051,0,12,1
120686,2013,76,-89.53379999999993,0,8,1
120722,2013,77,-60.590799999999945,1,11,0
120742,2013,78,104.74599999999987,0,26,1
120766,2013,79,112.55139999999983,1,6,1
120789,2013,80,20.138500000000022,0,7,1
120817,2013,81,-88.3578,0,28,1
120867,2013,82,-13.346700000000055,0,5,1
121056,2014,1,-75.56840000000011,0,11,1
121066,2014,2,-40.28430000000003,1,7,0
121104,2014,3,-155.4882,0,28,0
121137,2014,4,18.184099999999944,0,22,1
121156,2014,5,-26.964999999999918,1,12,0
121194,2014,6,-83.71260000000007,1,5,1
121209,2014,7,71.08529999999996,1,30,0
121241,2014,8,-5.9577999999999065,0,17,0
121270,2014,9,32.640699999999924,0,30,1
121279,2014,10,-94.24129999999991,1,4,0
121312,2014,11,-80.50150000000008,0,8,0
121347,2014,12,54.738000000000056,0,24,1
121413,2014,13,-119.94759999999997,0,7,1
121451,2014,14,72.5456999999999,0,1,1
121481,2014,15,32.16520000000014,1,25,0
121484,2014,16,29.985500000000002,1,29,1
121517,2014,17,80.2971,1,24,1
121552,2014,18,-43.65769999999998,0,6,0
121626,2014,19,96.64790000000016,1,1,1
121653,2014,20,37.15869999999995,0,21,0
121683,2014,21,17.797300000000178,0,9,0
121725,2014,22,-226.85799999999995,1,23,0
121735,2014,23,86.02489999999989,1,18,1
121763,2014,24,-9.17879999999991,1,22,0
121786,2014,25,-27.269700000000057,1,8,1
121828,2014,26,-73.92430000000013,0,17,1
121842,2014,27,-82.80860000000007,1,7,0
121880,2014,28,-25.263599999999997,1,9,0
121891,2014,29,-231.81850000000009,0,13,0
121921,2014,30,29.349300000000085,1,2,0
121948,2014,31,133.6123,0,19,0
121979,2014,32,118.74509999999987,0,16,0
122025,2014,33,-25.177799999999934,0,2,1
122053,2014,34,-76.68810000000008,0,4,0
122073,2014,35,-129.23209999999995,1,12,0
122094,2014,36,-184.77980000000002,1,5,0
122121,2014,37,-229.18259999999987,1,11,0
122179,2014,38,24.19939999999997,0,10,0
122199,2014,39,-131.35940000000005,1,9,0
122213,2014,40,-50.700599999999895,1,20,1
122260,2014,41,-182.57799999999997,1,21,1
122266,2014,42,-77.9846,1,0,0
122313,2014,43,-239.0567000000001,1,13,0
122335,2014,44,98.29989999999998,1,14,0
122370,2014,45,-47.34809999999993,1,3,0
122395,2014,46,-273.3967,0,15,0
122433,2014,47,-19.086399999999912,0,18,0
122495,2014,48,-196.5238999999999,1,17,0
122498,2014,49,21.85010000000011,1,10,1
122542,2014,50,81.69419999999991,1,19,1
122569,2014,51,-90.95209999999997,0,0,0
122594,2014,52,-49.82100000000014,0,2,0
